Gene	Subtype
MYD88	MCD
CD79B	MCD
PIM1	MCD
HLA-B	MCD
BTG1	MCD
CDKN2A	MCD
ETV6	MCD
SPIB	MCD
OSBPL10	MCD
TOX	MCD
BCL2	MCD
BTG2	MCD
MPEG1	MCD
HLA-A	MCD
HLA-C	MCD
SETD1B	MCD
KLHL14	MCD
TBL1XR1	MCD
GRHPR	MCD
PRDM1	MCD
CD58	MCD
TAP1	MCD
PIM2	MCD
FOXC1	MCD
IRF4	MCD
VMP1	MCD
SLC1A5	MCD
DAZAP1	MCD
BCL11A	MCD
PPP1R9B	MCD
IL10RA	MCD
IL16	MCD
CHST2	MCD
ARID5B	MCD
PDCD1LG2	MCD
CD274	MCD
WEE1	MCD
KLHL42	MCD
TNRC18	MCD
BCL6	BN2
NOTCH2	BN2
TNFAIP3	BN2
DTX1	BN2
CD70	BN2
BCL10	BN2
UBE2A	BN2
TMEM30A	BN2
KLF2	BN2
SPEN	BN2
CCND3	BN2
NOL9	BN2
TP63	BN2
ETS1	BN2
HIST1H1D	BN2
PRKCB	BN2
HIST1H2BK	BN2
TRIP12	BN2
KLHL21	BN2
TRRAP	BN2
PABPC1	BN2
BCL2	EZB
EZH2	EZB
TNFRSF14	EZB
KMT2D	EZB
CREBBP	EZB
REL	EZB
FAS	EZB
IRF8	EZB
EP300	EZB
Chrom. 12p	EZB
MEF2B	EZB
CIITA	EZB
ARID1A	EZB
GNA13	EZB
STAT6	EZB
PTEN	EZB
Chrom. 21	EZB
EBF1	EZB
GNAI2	EZB
C10orf12	EZB
BCL7A	EZB
HLA-DMB	EZB
S1PR2	EZB
MAP2K1	EZB
FBXO11	EZB
MIR17HG	EZB
TET2	ST2
SGK1	ST2
DUSP2	ST2
ZFP36L1	ST2
ACTG1	ST2
ACTB	ST2
ITPKB	ST2
NFKBIA	ST2
STAT3	ST2
EIF4A2	ST2
JUNB	ST2
BCL2L1	ST2
DDX3X	ST2
SOCS1	ST2
CD83	ST2
P2RY8	ST2
RFTN1	ST2
RAC2	ST2
XBP1	ST2
SEC24C	ST2
MED16	ST2
PRRC2C	ST2
EDRF1	ST2
DOCK8	ST2
CLTC	ST2
ZNF516	ST2
WDR24	ST2
ZC3H12D	ST2
TP53	A53
Chrom. 6q	A53
Chrom. 17p	A53
Chrom. 8p	A53
Chrom. 7p	A53
Chrom. 3q	A53
Chrom. 1p	A53
Chrom. 7q	A53
Chrom. 24p	A53
B2M	A53
Chrom. 24q	A53
Chrom. 2q	A53
Chrom. 4p	A53
Chrom. 11q	A53
Chrom. 15q	A53
Chrom. 16q	A53
TP53BP1	A53
Chrom. 2p	A53
Chrom. 4q	A53
Chrom. 22q	A53
CNPY3	A53
Chrom. 8q	A53
Chrom. 19p	A53
Chrom. 20p	A53
Chrom. 6p	A53
Chrom. 9q	A53
Chrom. 12p	A53
Chrom. 3p	A53
Chrom. 11p	A53
Chrom. 12q	A53
Chrom. 14q	A53
Chrom. 21p	A53
ING1	A53
NFKBIZ	A53
Chrom. 1q	A53
Chrom. 9p	A53
Chrom. 10p	A53
Chrom. 10q	A53
Chrom. 13q	A53
Chrom. 21q	A53
TP73	A53
Chrom. 16p	A53
Chrom. 18q	A53
Chrom. 20q	A53
Chrom. 23p	A53
Chrom. 19q	A53
NOTCH1	N1
IRF2BP2	N1
Chrom. 4p	N1
ID3	N1
BCOR	N1
EPB41	N1
IKBKB	N1
ALDH18A1	N1
